static	value
outlierMin	0.0
skewness	0.253822080697505

function[58]	
outlierMax	16.40625
max	12.939262
q75	12.430787
median	12.0110045
q25	11.761651
min	11.364933
outlierMin	0.0
skewness	0.254700090863445

function[59]	
outlierMax	2.34375
max	13.930849
q75	12.473316
median	11.9200755
q25	11.7513025
min	11.377991
outlierMin	0.0
skewness	0.532493506007856

function[60]	
outlierMax	0.78125
max	15.953791
q75	14.825644
median	12.72178
q25	11.8553375
min	11.45164
outlierMin	0.0
skewness	0.41659724341579

function[61]	
outlierMax	0.78125
max	16.89852
q75	14.965693
median	13.2119375
q25	12.244471
min	11.561405
outlierMin	0.0
skewness	0.288947024535301

function[62]	
outlierMax	1.953125
max	15.950316
q75	13.82932
median	12.5847665
q25	12.185616
min	11.545347
outlierMin	0.0
skewness	0.514328005528975

function[63]	
outlierMax	15.234375
max	12.978658
q75	12.401849
median	11.966222
q25	11.7491265
min	11.409783
outlierMin	0.0
skewness	0.334800010724313
